Individual,wheel_radius,chassis_length,suspension_frequency,suspension_damping,sensor_limit,speed_max,speed_slope,speed_intercept,wheel_radius-genome,chassis_length-genome,suspension_frequency-genome,suspension_damping-genome,sensor_limit-genome,speed_max-genome,speed_slope-genome,speed_intercept-genome,feasibility,objective,final_distance,final_speed,hit_wall,index_at_rest
0,0.6320794388760484,2.3547589780657403,3.3872212231966445,0.3,10.487863312136055,9.033204745164008,3.9989742337541188,-20.0,0.13207943887604845,0.45158632602191345,0.34103160331380633,0.0,0.6777045222954324,0.9033204745164009,0.3998974233754119,0.0,0,3.8679817935503458,-0.002490997314453125,4.6385478970734084e-05,False,790
1,0.6618009456884141,2.6983140519783504,3.4336088532551057,0.3,8.742623701655894,8.515709057472149,3.9989742337541188,-20.0,0.1618009456884141,0.5661046839927835,0.34765840760787226,0.0,0.5530445501182781,0.8515709057472148,0.3998974233754119,0.0,0,3.8531400321371994,-0.0017242431640625,9.977754523404769e-05,False,850
2,0.7222280908223291,2.3547589780657403,3.6495928184968265,0.35445134794719996,11.74337768021819,6.824947216053559,3.9989742337541188,-20.0,0.22222809082232903,0.45158632602191345,0.3785132597852609,0.09075224657866664,0.767384120015585,0.6824947216053558,0.3998974233754119,0.0,0,3.845597409062315,-0.0012226104736328125,-1.0820306307834926e-05,False,790
3,0.6618009456884141,2.442947303550607,3.724434117332053,0.4064841685435161,9.351761936742697,8.855132958835528,3.9989742337541188,-20.0,0.1618009456884141,0.4809824345168691,0.389204873904579,0.17747361423919347,0.5965544240530498,0.8855132958835528,0.3998974233754119,0.0,0,3.856803808092395,-0.0024509429931640625,8.833638817762335e-05,False,820
4,0.6206990690215444,2.3547589780657403,3.673540022648325,0.31790471551900074,7.341757506257962,9.860958678959786,3.9989742337541188,-20.0,0.12069906902154436,0.45158632602191345,0.3819342889497607,0.02984119253166788,0.45298267901842587,0.9860958678959787,0.3998974233754119,0.0,0,3.8596445429591824,-0.0019550323486328125,-5.6584934533532305e-05,False,880
5,0.6618009456884141,2.0896587967134157,3.673540022648325,0.3604665943310155,7.774896914333698,8.60023824154041,3.9989742337541188,-20.0,0.1618009456884141,0.36321959890447186,0.3819342889497607,0.10077765721835917,0.4839212081666927,0.860023824154041,0.3998974233754119,0.0,0,3.8594451364850912,-0.0013103485107421875,4.434569767397534e-06,False,800
6,0.5078299182327961,2.377784498110252,3.673540022648325,0.3,6.812287286336133,10.0,3.9989742337541188,-20.0,0.007829918232796163,0.45926149937008404,0.3819342889497607,0.0,0.4151633775954381,1.0,0.3998974233754119,0.0,0,1.5291031795325587,-12.70514726638794,7.242161330988964,False,2001
7,0.6320794388760484,2.3547589780657403,3.6495928184968265,0.31234340683273926,8.74136074414319,8.598062230776613,4.722832071380315,-20.0,0.13207943887604845,0.45158632602191345,0.3785132597852609,0.02057234472123212,0.5529543388673707,0.8598062230776613,0.4722832071380315,0.0,0,3.7621728926544655,0.7638206481933594,3.4661622599685415e-05,False,920
8,0.6618009456884141,2.3547589780657403,3.673540022648325,0.3,8.204807177357447,8.230091671180348,2.474849965068087,-20.0,0.1618009456884141,0.45158632602191345,0.3819342889497607,0.0,0.5146290840969605,0.8230091671180348,0.2474849965068087,0.0,0,2.1506230577201957,-12.991060256958008,0.3056667562734674,False,2001
9,0.6438088789841525,2.2844583077418603,2.139870185685806,0.3982532769422052,10.675792320809467,8.488561160525283,3.9989742337541188,-20.0,0.1438088789841525,0.4281527692472867,0.16283859795511513,0.16375546157034201,0.691128022914962,0.8488561160525282,0.3998974233754119,0.0,0,3.8601311760704538,-0.0018482208251953125,1.0155148295609706e-05,False,830
