Individual,wheel_radius,chassis_length,suspension_frequency,suspension_damping,sensor_limit,speed_max,speed_slope,speed_intercept,wheel_radius-genome,chassis_length-genome,suspension_frequency-genome,suspension_damping-genome,sensor_limit-genome,speed_max-genome,speed_slope-genome,speed_intercept-genome,feasibility,objective,final_distance,final_speed,hit_wall,index_at_rest
0,0.648435499445001,1.778576747676681,6.265658772518157,0.6430547433149734,11.014044978965286,7.869833059019263,2.4885714604904967,-12.451716087904003,0.14843549944500098,0.25952558255889363,0.7522369675025938,0.5717579055249556,0.715288927068949,0.7869833059019263,0.24885714604904968,0.1887070978023999,0,3.8825453316552654,-0.0032100677490234375,-8.118464182693685e-05,False,640
1,0.6475174418909231,2.6443059856081703,8.0,0.6619839678764163,8.189949667193599,8.653920286192918,2.4885714604904967,-12.451716087904003,0.14751744189092308,0.5481019952027234,1.0,0.6033066131273606,0.5135678333709713,0.8653920286192918,0.24885714604904968,0.1887070978023999,0,1.8400070751968203,-9.181340217590332,7.929558916727629,False,2001
2,0.5889046078864447,1.8550149199676902,7.139337787292849,0.5508352626903552,9.476451395691623,7.645306187988021,2.4885714604904967,-12.451716087904003,0.08890460788644473,0.28500497332256336,0.8770482553275498,0.418058771150592,0.605460813977973,0.7645306187988021,0.24885714604904968,0.1887070978023999,0,1.711584172509975,-10.6391019821167,7.645306187988021,False,2001
3,0.6454263491257206,2.2103093593475407,5.419874927846995,0.5200297135709153,12.993818674404517,7.869833059019263,2.4885714604904967,-12.540582597152458,0.1454263491257206,0.4034364531158469,0.6314107039781421,0.36671618928485883,0.856701333886037,0.7869833059019263,0.24885714604904968,0.18648543507118853,0,3.862624859511701,-0.04087257385253906,-8.11605609509769e-05,False,770
4,0.648435499445001,1.849722583014518,7.139337787292849,0.5262365849667127,10.785476696643524,8.192557695960245,2.4885714604904967,-12.451716087904003,0.14843549944500098,0.28324086100483936,0.8770482553275498,0.37706097494452107,0.6989626211888231,0.8192557695960245,0.24885714604904968,0.1887070978023999,0,3.8649992992875686,-0.0036716461181640625,-8.593121519950842e-05,False,780
5,0.648435499445001,1.700578416779168,6.265658772518157,0.6563674519105911,11.81788809991177,7.869833059019263,3.6401509000075736,-12.451716087904003,0.14843549944500098,0.23352613892638935,0.7522369675025938,0.5939457531843185,0.7727062928508407,0.7869833059019263,0.3640150900007574,0.1887070978023999,0,3.6671461509101655,1.5792427062988281,-6.687177759445717e-05,False,880
6,0.648435499445001,1.6411408754356924,6.498464224900148,0.7746195738271607,10.700322942048619,7.869833059019263,2.4885714604904967,-12.451716087904003,0.14843549944500098,0.21371362514523085,0.7854948892714496,0.7910326230452678,0.69288021014633,0.7869833059019263,0.24885714604904968,0.1887070978023999,0,3.858520015260162,-0.005657196044921875,-7.406478176896769e-05,False,830
7,0.5840994647977383,1.7114531441712093,5.717493336499695,0.7710353490488793,10.700322942048619,8.056783175092221,2.4885714604904967,-12.451716087904003,0.0840994647977383,0.23715104805706977,0.6739276194999564,0.7850589150814654,0.69288021014633,0.8056783175092221,0.24885714604904968,0.1887070978023999,0,1.6608888402530275,-10.730467796325684,8.056783175092221,False,2001
8,0.648435499445001,2.018809529519727,6.265658772518157,0.6430547433149734,10.269592434120474,7.869833059019263,3.2408606300780645,-12.451716087904003,0.14843549944500098,0.3396031765065757,0.7522369675025938,0.5717579055249556,0.6621137452943195,0.7869833059019263,0.32408606300780646,0.1887070978023999,0,3.7204654821678496,1.1578559875488281,-0.00010389945342126339,False,850
9,0.648435499445001,1.3674486105414105,6.498464224900148,0.7414501835125022,10.700322942048619,7.869833059019263,2.461018675143978,-12.451716087904003,0.14843549944500098,0.12248287018047019,0.7854948892714496,0.7357503058541702,0.69288021014633,0.7869833059019263,0.24610186751439783,0.1887070978023999,0,2.495339348562421,3.659832000732422,7.869833059019263,False,2001
10,0.648435499445001,1.8049385902981632,6.811328373842238,0.608712132181673,8.723908295551219,8.072723356209467,2.455146908935789,-12.451716087904003,0.14843549944500098,0.26831286343272104,0.8301897676917482,0.5145202203027882,0.5517077353965156,0.8072723356209467,0.2455146908935789,0.1887070978023999,0,3.855583196321085,-0.07309722900390625,-7.605142043232149e-05,False,790
11,0.648435499445001,1.9217854212415284,6.422338833555205,0.5848351957895097,9.608721136892635,7.645306187988021,2.4885714604904967,-16.6076751840791,0.14843549944500098,0.3072618070805095,0.7746198333650294,0.4747253263158494,0.6149086526351882,0.7645306187988021,0.24885714604904968,0.08480812039802253,0,1.878094904676919,-9.097257614135742,-7.645306187988021,False,2001
12,0.648435499445001,1.676505087718085,6.487298149795631,0.5390661192012967,9.403563084582368,7.316059169493059,2.4885714604904967,-12.451716087904003,0.14843549944500098,0.22550169590602828,0.7838997356850901,0.39844353200216104,0.6002545060415977,0.7316059169493059,0.24885714604904968,0.1887070978023999,0,3.8635188169184183,-0.005641937255859375,7.901220950579102e-05,False,790
13,0.648435499445001,1.885500859211164,4.852603589917502,0.6771632172648514,11.014044978965286,7.520145426496776,2.4885714604904967,-12.451716087904003,0.14843549944500098,0.295166953070388,0.5503719414167859,0.6286053621080856,0.715288927068949,0.7520145426496776,0.24885714604904968,0.1887070978023999,0,3.8712571300971077,-0.003589630126953125,-7.287813842538071e-05,False,730
14,0.6169464300560918,2.037459158187305,7.833071535689579,0.5508352626903552,9.005641669066096,8.142247526704908,2.4885714604904967,-15.56743375188217,0.11694643005609179,0.3458197193957684,0.9761530765270827,0.418058771150592,0.5718315477904354,0.8142247526704909,0.24885714604904968,0.11081415620294575,0,2.499691796982642,-8.886785507202148,-1.7556741818543493,False,2001
