Generation,Worst Feasibility,Average Feasibility,Best Feasibility,Worst Objective,Average Objective,Best Objective
0,-0.8259156518797882,-0.1366793719125408,0.0,0.0,0.7573450209148715,3.733765830594492
1,-0.2180175759755364,-0.007564619956854352,0.0,0.0,1.867913415597102,3.733765830594492
2,-0.0077989162153294656,-7.798916215329466e-05,0.0,0.0,2.776910851545266,3.746262725233325
3,0.0,0.0,0.0,1.575,3.0367492520468726,3.7625366996480007
4,0.0,0.0,0.0,-11.332081931749112,2.829886900604271,3.790397442639479
5,-0.030944531406652098,-0.000309445314066521,0.0,0.0,3.19742272856421,3.795226532732703
6,-0.12151373275279176,-0.0022068264459668683,0.0,0.0,2.9723690971070185,3.799406500172871
7,0.0,0.0,0.0,-7.326448871738385,3.2218799274251047,3.818080583026503
8,0.0,0.0,0.0,-13.517584883054885,2.876025577132655,3.818080583026503
9,0.0,0.0,0.0,-11.745836674194603,3.186265016322724,3.818080583026503
10,0.0,0.0,0.0,-12.915500944679561,2.964778720671167,3.8286638829004476
11,0.0,0.0,0.0,-8.605428063131066,3.1743894741809537,3.8286638829004476
12,0.0,0.0,0.0,-12.757282768731962,3.1055025250616057,3.8286638829004476
13,-0.12653093689203965,-0.0012653093689203965,0.0,0.0,2.6496029313010627,3.8286638829004476
14,0.0,0.0,0.0,-7.428596673623669,3.356924533103402,3.8286638829004476
15,-0.005436474292020543,-5.436474292020543e-05,0.0,0.0,3.2155769428874352,3.828664331688362
16,0.0,0.0,0.0,-12.675810335949096,3.1373246148098013,3.828664331688362
17,0.0,0.0,0.0,-11.71298180861556,3.342835498430569,3.828664331688362
18,-0.057458474240699386,-0.0005745847424069939,0.0,0.0,3.378749320882505,3.828664331688362
19,0.0,0.0,0.0,-9.41352829079907,3.456673832036992,3.829914177186475
20,0.0,0.0,0.0,-1.5915045371582353,3.57954335667989,3.829914177186475
21,0.0,0.0,0.0,-4.705317620555828,3.4497870817688012,3.829914177186475
22,-0.06725731144816627,-0.0006725731144816626,0.0,0.0,3.1743431115691787,3.829914177186475
23,0.0,0.0,0.0,-0.9179024545596745,3.5499307517695953,3.8341536251845287
24,0.0,0.0,0.0,-12.190332251088186,3.2265765466394685,3.8386155354572384
25,0.0,0.0,0.0,-11.591441247455936,3.04010586138169,3.8386155354572384
26,0.0,0.0,0.0,-11.713133498930357,3.113181756797328,3.8386155354572384
27,0.0,0.0,0.0,-12.571752682325094,3.2831962418190868,3.8386155354572384
28,0.0,0.0,0.0,-3.9202321427204763,3.4956311060570435,3.8398656124620207
29,0.0,0.0,0.0,-10.39514138862761,3.2571852098756424,3.8398656124620207
30,0.0,0.0,0.0,-7.695920036277826,3.3953468042718584,3.8398656124620207
31,0.0,0.0,0.0,-14.584530020670075,3.368762030236266,3.8448325785973076
32,0.0,0.0,0.0,-10.45730993969027,3.4534801918524067,3.8448325785973076
33,0.0,0.0,0.0,-11.583095617393397,3.4052160606112785,3.8448451921739126
34,0.0,0.0,0.0,-11.697264067631036,3.3519428143907253,3.8448451921739126
35,0.0,0.0,0.0,-11.69756206280567,2.930562382154621,3.846093861826042
36,0.0,0.0,0.0,-11.401910498806359,3.435262052774925,3.846093861826042
37,0.0,0.0,0.0,-11.428983180906542,3.1218994392400026,3.846093861826042
38,0.0,0.0,0.0,0.9215538033148334,3.618281218937515,3.84658055809543
39,0.0,0.0,0.0,-11.286487965628766,3.303877800509101,3.84658055809543
40,0.0,0.0,0.0,-11.706517061254383,2.8590795883787026,3.846685511726364
41,0.0,0.0,0.0,-9.317276603120062,3.4199967964047304,3.846685511726364
42,0.0,0.0,0.0,-11.882077057569651,3.223683577962516,3.846685511726364
43,0.0,0.0,0.0,-11.284663193972056,3.1194364854784817,3.846685511726364
44,0.0,0.0,0.0,-5.100211461644371,3.539387121849093,3.8468271677925676
45,0.0,0.0,0.0,-13.007754551610864,3.445355710014482,3.8468271677925676
46,0.0,0.0,0.0,-10.271343380408718,3.3335471382739628,3.8479336351555475
47,0.0,0.0,0.0,-14.399779441021938,3.168590375060492,3.8479471463079795
48,0.0,0.0,0.0,0.4008270656830295,3.653604598223384,3.8493675290277145
49,0.0,0.0,0.0,-11.727357989965594,3.2143911353359336,3.8493675290277145
50,0.0,0.0,0.0,-0.7205034538538955,3.6264601934631986,3.8493675290277145
51,0.0,0.0,0.0,-11.277990615272607,3.3419707374278538,3.8493675290277145
52,0.0,0.0,0.0,-0.9780822118641892,3.6095608466357434,3.8493675290277145
53,0.0,0.0,0.0,-10.671398360216504,3.4073031316666196,3.849376112356189
54,0.0,0.0,0.0,-11.909263890231715,3.2562681401012146,3.849376112356189
55,0.0,0.0,0.0,-1.1702096481111817,3.4193042464513406,3.849376112356189
56,0.0,0.0,0.0,-8.888404951706686,3.37311872815718,3.852722383231762
57,0.0,0.0,0.0,-11.677076689701348,3.3160753154407803,3.852722383231762
