Individual,wheel_radius,chassis_length,suspension_frequency,suspension_damping,sensor_limit,speed_max,speed_slope,speed_intercept,wheel_radius-genome,chassis_length-genome,suspension_frequency-genome,suspension_damping-genome,sensor_limit-genome,speed_max-genome,speed_slope-genome,speed_intercept-genome,feasibility,objective,final_distance,final_speed,hit_wall,index_at_rest
0,0.6311038935985847,1.8166135933230183,6.510293460596714,0.46487870420933336,9.944231410530422,6.059184158411181,3.2663656664590905,-16.329563245128636,0.1311038935985846,0.2722045311076728,0.787184780085245,0.27479784034888893,0.6388736721807444,0.6059184158411182,0.32663656664590907,0.09176091887178409,0,3.878487199136878,-0.000209808349609375,-6.496951816359342e-05,False,710
1,0.6311038935985847,2.1919964509301315,4.253907905702043,0.4169296358610189,8.922162205051123,6.059184158411181,3.2663656664590905,-16.329563245128636,0.1311038935985846,0.3973321503100438,0.4648439865288633,0.19488272643503146,0.5658687289322231,0.6059184158411182,0.32663656664590907,0.09176091887178409,0,3.8696904713421527,0.0006275177001953125,8.455283595054652e-05,False,780
2,0.7497025281021392,2.0111771829510494,5.01403663419895,0.48959637533801736,8.528734168424322,6.059184158411181,3.2663656664590905,-16.329563245128636,0.2497025281021392,0.3370590609836831,0.5734338048855643,0.31599395889669557,0.537766726316023,0.6059184158411182,0.32663656664590907,0.09176091887178409,0,3.836293597018999,0.000652313232421875,-4.627922390199046e-05,False,810
3,0.6311038935985847,1.814932210275165,6.510293460596714,0.47145868930329404,9.285236464318695,5.678623325258786,3.2663656664590905,-16.329563245128636,0.1311038935985846,0.27164407009172165,0.787184780085245,0.28576448217215666,0.5918026045941925,0.5678623325258786,0.32663656664590907,0.09176091887178409,0,3.862198506658979,0.0006122589111328125,5.9632443598189866e-05,False,840
4,0.6311038935985847,2.0111771829510494,5.01403663419895,0.3297444603320755,9.02756292795197,6.607276415601172,3.792753680762326,-17.494866760217633,0.1311038935985846,0.3370590609836831,0.5734338048855643,0.049574100553459205,0.5733973519965692,0.6607276415601172,0.3792753680762326,0.06262833099455921,0,3.8142112819517364,0.38724327087402344,-8.43591951600331e-05,False,860
5,0.6311038935985847,1.814932210275165,4.029835374947401,0.4169296358610189,7.423434653162758,6.059184158411181,3.2663656664590905,-16.329563245128636,0.1311038935985846,0.27164407009172165,0.4328336249924859,0.19488272643503146,0.458816760940197,0.6059184158411182,0.32663656664590907,0.09176091887178409,0,3.8622498264249865,0.00017547607421875,-6.029694459996904e-05,False,840
6,0.6614947882434521,2.127366100189792,5.398488845529959,0.3916657336605448,8.730743667771684,6.556482662080786,3.616475220869874,-16.36170539451888,0.16149478824345212,0.3757887000632639,0.6283555493614228,0.15277622276757472,0.552195976269406,0.6556482662080786,0.36164752208698736,0.09095736513702804,0,3.7999515100889525,0.47574424743652344,-6.73046252614995e-05,False,830
7,0.6311038935985847,1.7755630991279037,6.033422100489848,0.5055887257305501,8.9531453235484,5.937693925281091,3.2663656664590905,-13.45773926766978,0.1311038935985846,0.2585210330426345,0.7190603000699783,0.3426478762175835,0.5680818088248857,0.5937693925281091,0.32663656664590907,0.16355651830825552,0,3.761258535158107,0.8798351287841797,-6.700678972926255e-05,False,820
8,0.7134137761425638,1.9527792536571602,7.695666228521618,0.4389091046187121,8.373227925321897,8.052403828649224,3.2663656664590905,-20.0,0.2134137761425639,0.3175930845523867,0.9565237469316596,0.23151517436452013,0.5266591375229926,0.8052403828649224,0.32663656664590907,0.0,0,3.7133130968743338,-1.1230583190917969,-9.550661728496834e-05,False,810
9,0.6311038935985847,2.0111771829510494,4.433813463777538,0.463672552093757,9.02756292795197,5.881578718456794,3.2663656664590905,-16.329563245128636,0.1311038935985846,0.3370590609836831,0.49054478053964823,0.27278758682292836,0.5733973519965692,0.5881578718456794,0.32663656664590907,0.09176091887178409,0,3.8597160127433043,0.0004634857177734375,7.209263977614455e-05,False,860
