Generation,Worst Feasibility,Average Feasibility,Best Feasibility,Worst Objective,Average Objective,Best Objective
0,-0.8755176764229071,-0.07716998357978891,0.0,0.0,1.1717755343854186,3.49487849144131
1,-0.08448080307103267,-0.0008505941020249041,0.0,0.0,2.0154245029712623,3.499877493775633
2,-0.1977076000292448,-0.002694869342579148,0.0,0.0,2.5637959535959225,3.5011268690879764
3,-0.21910996613810463,-0.0021910996613810465,0.0,0.0,2.894763283780948,3.5823757083546632
4,-0.04860644532339664,-0.000640387439344835,0.0,0.0,2.988053227658117,3.6045008169459303
5,0.0,0.0,0.0,-2.9066460000950234,3.217674546344158,3.647433372468224
6,0.0,0.0,0.0,1.8145882985564747,3.272832716500884,3.6597255928564314
7,-0.043505039638581544,-0.0004350503963858154,0.0,0.0,3.2765658376106086,3.6978441274676426
8,-0.02295684007307297,-0.0002295684007307297,0.0,0.0,3.3730301862394874,3.7342220015056293
9,0.0,0.0,0.0,1.9296619369805221,3.585123540223226,3.811707435730652
10,0.0,0.0,0.0,2.078167912684683,3.552131092036276,3.8167337786692808
11,-0.13225409431296753,-0.0013225409431296754,0.0,0.0,3.598189423316489,3.8167337786692808
12,-0.21391855289512163,-0.004990337234570833,0.0,0.0,3.5093817363413553,3.827976939163109
13,0.0,0.0,0.0,1.8711545384226216,3.700613451637024,3.844750106264076
14,0.0,0.0,0.0,2.066951447998521,3.729896758617323,3.84724706173711
15,-0.09838948572706241,-0.0009838948572706242,0.0,0.0,3.6840705156887323,3.847248632494807
16,0.0,0.0,0.0,1.7476535411168863,3.764399263704828,3.8484994495183744
17,-0.007322978429700866,-7.322978429700866e-05,0.0,0.0,3.6540129340849874,3.854316770292493
18,0.0,0.0,0.0,1.9456657355727136,3.665032135884198,3.854316770292493
19,0.0,0.0,0.0,1.5780610638823003,3.7641138823244806,3.854316770292493
20,0.0,0.0,0.0,1.5461860130212826,3.632160929856775,3.855610696998774
21,0.0,0.0,0.0,1.6687927813259358,3.7348902102031243,3.857331689897359
22,0.0,0.0,0.0,1.517122980562522,3.594908429834429,3.8577332511396487
23,0.0,0.0,0.0,1.4943660640275467,3.6268611775546886,3.8577332511396487
24,0.0,0.0,0.0,1.482586698448488,3.678927354348444,3.8578073921807543
25,0.0,0.0,0.0,1.4885000125027572,3.6403567931941523,3.8578073921807543
26,0.0,0.0,0.0,1.4420409469368127,3.565937144442378,3.8578073921807543
27,0.0,0.0,0.0,1.4371298946760613,3.664304847203442,3.8578073921807543
28,0.0,0.0,0.0,1.5303161248170878,3.7263037111366573,3.8578073921807543
29,0.0,0.0,0.0,1.421867548899977,3.5572623415229567,3.858174524459429
30,0.0,0.0,0.0,-3.9300320355844383,3.6140779026700494,3.858174524459429
31,0.0,0.0,0.0,1.4826270560832937,3.6686368783848478,3.8589431573466006
32,0.0,0.0,0.0,1.7672043266189128,3.7259045800054316,3.8589431573466006
33,0.0,0.0,0.0,1.4087986423483834,3.6196431242084866,3.859484069613815
34,0.0,0.0,0.0,-4.553598825564272,3.58379433161672,3.859484069613815
35,0.0,0.0,0.0,1.650756062160696,3.7149066344841457,3.859484069613815
36,0.0,0.0,0.0,1.4348707967393273,3.659079304497137,3.860251353982625
37,0.0,0.0,0.0,1.3353586597168738,3.6809680706334564,3.860251353982625
38,0.0,0.0,0.0,1.383245819242059,3.6152000859851205,3.860251353982625
39,0.0,0.0,0.0,0.8884385659139222,3.5447745274891798,3.860251353982625
40,0.0,0.0,0.0,1.2853783911555086,3.6320893635372253,3.860473979049198
41,0.0,0.0,0.0,1.3200986717111185,3.6093391179456074,3.860473979049198
42,0.0,0.0,0.0,1.3305942219219475,3.7086195447943195,3.860473979049198
43,0.0,0.0,0.0,1.3189336136980139,3.7142164924688847,3.860473979049198
44,0.0,0.0,0.0,1.3680044923876542,3.67647750575947,3.8606177866909235
45,0.0,0.0,0.0,1.4436113837045854,3.697118026701689,3.8606177866909235
46,0.0,0.0,0.0,1.393305014664441,3.5954817145168216,3.8606183308263193
47,0.0,0.0,0.0,1.3273504127658005,3.5734281746840453,3.8606183308263193
48,0.0,0.0,0.0,1.395767855445255,3.6010648743904774,3.8606183308263193
