Generation,Worst Feasibility,Average Feasibility,Best Feasibility,Worst Objective,Average Objective,Best Objective
0,-0.8924025849923273,-0.11543023713106162,0.0,0.0,0.806067992308292,3.616243346449552
1,-0.2434865910739612,-0.0062980232489814195,0.0,0.0,2.2306904449284164,3.616325710766524
2,0.0,0.0,0.0,-7.245854437736948,2.661468500783875,3.765181192667516
3,-0.10876256055541955,-0.0021051446300363085,0.0,0.0,2.8220792811731785,3.813034016980126
4,-0.07499428839833411,-0.001394581961570801,0.0,0.0,2.754544206033964,3.8130783586708508
5,-0.04571629747804484,-0.0004571629747804484,0.0,0.0,3.1898664508559795,3.814149553597435
6,0.0,0.0,0.0,-5.152541545664816,3.383056591042577,3.816264162748106
7,0.0,0.0,0.0,1.6317242907033833,3.643537468120613,3.81999581593886
8,0.0,0.0,0.0,1.8524543585712638,3.5642569197641563,3.8214246858909307
9,0.0,0.0,0.0,1.3976950093153986,3.500502205658872,3.826052023688277
10,0.0,0.0,0.0,1.4735847827306838,3.6181478909024576,3.8323052248649088
11,0.0,0.0,0.0,1.8218889411854042,3.585361344570014,3.833662189698857
12,0.0,0.0,0.0,-10.29829989854478,3.481813934255586,3.833662189698857
13,0.0,0.0,0.0,1.8043859015867658,3.610608695688607,3.8395944249086345
14,0.0,0.0,0.0,-2.019516308407522,3.4364856954609877,3.8395944249086345
15,0.0,0.0,0.0,1.8265620298978842,3.5266962895536618,3.8395944249086345
16,0.0,0.0,0.0,1.811367085401086,3.5046819695138236,3.8395944249086345
17,0.0,0.0,0.0,1.4860627896105216,3.5462181988548496,3.840267889093786
18,0.0,0.0,0.0,1.41964044686716,3.547554714741671,3.840267889093786
19,0.0,0.0,0.0,1.7525256932462718,3.5594339898743352,3.840267889093786
20,0.0,0.0,0.0,1.8829217885868625,3.6179663588856523,3.841528643584598
21,0.0,0.0,0.0,1.4280767055388133,3.5612656100497606,3.8434118475129875
22,0.0,0.0,0.0,1.3493812144430564,3.4339730258690775,3.8434118475129875
23,0.0,0.0,0.0,1.3851881313853878,3.514810818069542,3.8445955344741267
24,0.0,0.0,0.0,-11.163634177824218,3.368258839511341,3.84465000162819
25,0.0,0.0,0.0,-2.4683563416393817,3.4028453794003712,3.84465000162819
26,0.0,0.0,0.0,1.8297779522861848,3.628770553621209,3.846121422854469
27,0.0,0.0,0.0,1.4197975855067235,3.4591289428185963,3.846121422854469
28,0.0,0.0,0.0,1.4528334483047296,3.542974741593446,3.846121422854469
29,0.0,0.0,0.0,1.3680307530501352,3.580174066027457,3.846121422854469
30,0.0,0.0,0.0,1.393383024477141,3.5255605126636858,3.846121422854469
31,0.0,0.0,0.0,1.3942726986265945,3.594532876382623,3.848700374356343
32,0.0,0.0,0.0,1.3365510471934745,3.6197758729372236,3.850604387898497
33,0.0,0.0,0.0,1.3908125097110053,3.5254762359740783,3.850604387898497
34,0.0,0.0,0.0,1.3934976637765926,3.567237321905278,3.850604387898497
35,0.0,0.0,0.0,1.3954285062086753,3.470429126114017,3.850611650733913
36,0.0,0.0,0.0,1.3476341109983796,3.556994259346177,3.850611650733913
37,0.0,0.0,0.0,1.4450650348292295,3.5607631290809927,3.850611650733913
38,0.0,0.0,0.0,1.4258710063553008,3.679620830351659,3.850611650733913
