Generation,Worst Feasibility,Average Feasibility,Best Feasibility,Worst Objective,Average Objective,Best Objective
0,-0.9558350354358995,-0.11829893895756632,0.0,0.0,0.9292645984672911,3.7322088544865597
1,-0.2839468255234664,-0.00368253010485316,0.0,0.0,2.1276429281855203,3.7322088544865597
2,-0.08953704721995281,-0.00174552471996698,0.0,0.0,2.5707450097074696,3.766535030776838
3,0.0,0.0,0.0,-8.839282947913123,2.7413407590237915,3.7666968851006195
4,-0.11420043912587896,-0.0011420043912587895,0.0,0.0,3.023491785094365,3.78647350031362
5,0.0,0.0,0.0,-6.995076461097227,3.087488337605361,3.790484097959912
6,0.0,0.0,0.0,-3.76865624075553,3.2308925459857103,3.790484097959912
7,0.0,0.0,0.0,-4.318463583271799,3.237076924868669,3.805240267622394
8,0.0,0.0,0.0,-7.93189806322518,3.2221033885344044,3.8053199274770586
9,0.0,0.0,0.0,-6.506036967221184,3.0759639216516876,3.8164307811107747
10,0.0,0.0,0.0,-5.99624883023759,3.0906796964227734,3.8164307811107747
11,0.0,0.0,0.0,-6.73205172167637,3.019760611960095,3.82894855288499
12,-0.08411882188410191,-0.0008411882188410192,0.0,0.0,3.2082260121429327,3.82894855288499
13,0.0,0.0,0.0,-6.638203911903446,3.102290032819168,3.82894855288499
14,0.0,0.0,0.0,-7.460294284545363,3.4502151962056216,3.833962813431611
15,0.0,0.0,0.0,-6.5119773461515305,3.4700787911339086,3.833972205590993
16,0.0,0.0,0.0,-6.581085803576308,3.2518729324240985,3.8470152942956775
17,0.0,0.0,0.0,-6.1970796717890995,3.5352128044896975,3.8470152942956775
18,0.0,0.0,0.0,-7.642971438276615,3.3508602202417332,3.8470152942956775
19,0.0,0.0,0.0,-8.041539385354483,3.1861486549496765,3.8470152942956775
20,0.0,0.0,0.0,-4.603223499544323,3.44637600280877,3.8470152942956775
21,0.0,0.0,0.0,-4.97572422062901,3.578567868160886,3.8470152942956775
22,0.0,0.0,0.0,-7.964757331393004,3.353068213518955,3.8470152942956775
23,0.0,0.0,0.0,-11.67187538471273,3.4144974146987357,3.8470152942956775
24,0.0,0.0,0.0,-2.9477542897136075,3.5333480998116245,3.8574893364540213
25,0.0,0.0,0.0,-1.4179873641037515,3.415856924129055,3.8575258175031326
26,0.0,0.0,0.0,-3.220050085180258,3.441555380921198,3.861730064435934
27,0.0,0.0,0.0,-9.07051139085505,2.98877982936683,3.861730064435934
28,0.0,0.0,0.0,-7.239092666500418,3.2083372960277114,3.861730064435934
29,0.0,0.0,0.0,-1.2935261879873918,3.4653787108697514,3.8657133510029196
30,0.0,0.0,0.0,1.5229075245459613,3.4714330643640126,3.8657133510029196
31,0.0,0.0,0.0,-6.711383116981892,3.291568483709497,3.8657133510029196
32,0.0,0.0,0.0,1.5154787734194368,3.645989087423906,3.8657133510029196
33,0.0,0.0,0.0,-9.553774499195741,3.351329361993767,3.8657133510029196
34,0.0,0.0,0.0,-4.929320931129356,3.5677429242133742,3.8657133510029196
35,0.0,0.0,0.0,-8.49694847224679,3.334035862272044,3.8657133510029196
36,0.0,0.0,0.0,-1.3457692445206584,3.5707708380203433,3.8657133510029196
37,0.0,0.0,0.0,1.4146914672053954,3.634574099624826,3.87177665081622
38,0.0,0.0,0.0,-9.900368762935061,3.2511565718986004,3.872842414349066
39,0.0,0.0,0.0,-10.004873203171087,3.317947726477907,3.872842414349066
40,0.0,0.0,0.0,0.18794480529769875,3.5415155033987378,3.872842414349066
41,0.0,0.0,0.0,-9.724640929699042,3.4156102153383894,3.8739884537039475
42,0.0,0.0,0.0,-10.00525736562513,3.440867027901157,3.8739884537039475
43,0.0,0.0,0.0,1.5178466144529053,3.685043371624116,3.8739884537039475
44,0.0,0.0,0.0,1.5347975181821152,3.573410516605995,3.8740885446683198
45,0.0,0.0,0.0,-9.035984593320997,3.3211916693412347,3.8758155465884876
46,0.0,0.0,0.0,-10.012464001941767,3.4460144707822566,3.8773807357304007
47,0.0,0.0,0.0,0.5248052488563282,3.5393415141240165,3.8773807357304007
48,-0.03783423056154167,-0.0003783423056154167,0.0,0.0,3.464102488513321,3.8773896681806814
49,0.0,0.0,0.0,-9.819600323681474,3.25415818792869,3.8773896681806814
50,0.0,0.0,0.0,0.48494213739055025,3.513296587435403,3.8774593476914925
51,-0.013990763533553663,-0.00013990763533553664,0.0,0.0,3.311953247586601,3.8774593476914925
52,0.0,0.0,0.0,-12.029070853190335,3.397472998245643,3.8774593476914925
53,0.0,0.0,0.0,-3.466460123072653,3.4779871099305204,3.8774593476914925
54,0.0,0.0,0.0,-6.428184269639171,3.500014316998103,3.8774593476914925
55,-0.05815232864054831,-0.0005815232864054831,0.0,0.0,3.287443595592695,3.8774593476914925
56,-0.015891108796886932,-0.00015891108796886933,0.0,0.0,3.4178186633469134,3.8774593476914925
57,0.0,0.0,0.0,-3.3497744833447256,3.513522003148607,3.8774593476914925
58,-0.010893181149859044,-0.00010893181149859043,0.0,0.0,3.3932239317389508,3.8774593476914925
59,0.0,0.0,0.0,1.5546656206611047,3.5952588984405787,3.8774593476914925
60,0.0,0.0,0.0,-6.184774031333174,3.5838596618825833,3.8774593476914925
61,0.0,0.0,0.0,-3.1430334542011287,3.44241480736697,3.8774593476914925
62,0.0,0.0,0.0,-1.6437470785888562,3.4494795169718966,3.8786552959426244
63,0.0,0.0,0.0,-3.474205746934657,3.5271940154017383,3.8786552959426244
64,0.0,0.0,0.0,1.4166760537050453,3.598043656993458,3.8786552959426244
65,-0.061264527212516295,-0.000612645272125163,0.0,0.0,3.51767481211854,3.8786552959426244
66,0.0,0.0,0.0,1.4157863089607101,3.6345551601297394,3.8786552959426244
67,0.0,0.0,0.0,-7.454383016327862,3.485313235660643,3.878667747200797
68,0.0,0.0,0.0,1.5687867038544159,3.557064851520085,3.878701818201157
69,-0.07832381517535414,-0.0007832381517535414,0.0,0.0,3.2600194738481174,3.87978964995004
70,-0.057748473773949316,-0.0005774847377394932,0.0,0.0,3.5504613580950415,3.87978964995004
71,-0.018448348467665965,-0.00018448348467665964,0.0,0.0,3.521611817743729,3.87978964995004
72,0.0,0.0,0.0,-3.5153031665428696,3.4470658518534303,3.87978964995004
73,-0.007300477878155798,-7.300477878155798e-05,0.0,0.0,3.4825965253190905,3.87978964995004
74,0.0,0.0,0.0,-3.670657696795326,3.3253681277294977,3.8824088377078985
75,0.0,0.0,0.0,1.5678903965878996,3.601301865584625,3.8824088377078985
76,0.0,0.0,0.0,-1.2792975949833227,3.6243455133000695,3.8824088377078985
77,0.0,0.0,0.0,-10.701408823973196,3.3732354885596556,3.8824088377078985
78,0.0,0.0,0.0,0.27888497738490614,3.5910769314438955,3.8825453316552654
79,0.0,0.0,0.0,-3.8182930576871215,3.536721669465716,3.8825453316552654
80,-0.02050748477085451,-0.00020507484770854512,0.0,0.0,3.4675387044093173,3.8825453316552654
81,0.0,0.0,0.0,1.6429645767078314,3.581638865277418,3.8825453316552654
82,0.0,0.0,0.0,-0.04088049694195994,3.6738357192730025,3.8825453316552654
83,0.0,0.0,0.0,-1.486323101522878,3.509466012273164,3.8825453316552654
84,0.0,0.0,0.0,-3.2628412879633486,3.5210594789808702,3.8825453316552654
85,0.0,0.0,0.0,1.4824733412630227,3.6617698084043155,3.8825453316552654
86,0.0,0.0,0.0,-9.281556994222374,3.45586315329901,3.8825453316552654
87,-0.01855955883583471,-0.0001855955883583471,0.0,0.0,3.4637882242932654,3.8825453316552654
88,0.0,0.0,0.0,-6.658187641069397,3.3155571645705777,3.8825453316552654
89,0.0,0.0,0.0,1.5761626076878814,3.6261035659104426,3.8825453316552654
90,0.0,0.0,0.0,1.4862233330274126,3.519323445027873,3.8825453316552654
91,-0.1822507423863351,-0.0018648064904115246,0.0,0.0,3.3029885597872823,3.8825453316552654
92,0.0,0.0,0.0,-1.0131266327194524,3.574196571104009,3.8825453316552654
93,0.0,0.0,0.0,1.5047590679333152,3.5480104042551988,3.8825453316552654
94,-0.019127576236908306,-0.00019127576236908307,0.0,0.0,3.425584340643108,3.8825453316552654
95,0.0,0.0,0.0,1.6391595223407078,3.6856224683406875,3.8825453316552654
96,-0.059914240268226115,-0.0005991424026822611,0.0,0.0,3.610343874366829,3.8825453316552654
97,0.0,0.0,0.0,-10.73360845919838,3.4936367452054036,3.8825453316552654
98,0.0,0.0,0.0,-9.074438439613282,3.4982391746608177,3.8825453316552654
99,0.0,0.0,0.0,-11.936057340063286,3.3915450363852857,3.8825453316552654
