Individual,wheel_radius,chassis_length,suspension_frequency,suspension_damping,sensor_limit,speed_max,speed_slope,speed_intercept,wheel_radius-genome,chassis_length-genome,suspension_frequency-genome,suspension_damping-genome,sensor_limit-genome,speed_max-genome,speed_slope-genome,speed_intercept-genome,feasibility,objective,final_distance,final_speed,hit_wall,index_at_rest
0,0.7962389960535112,3.561273442511943,4.182927152186494,0.3,13.568500966656892,10.0,1.3467506483753733,-6.716860434982133,0.2962389960535113,0.8537578141706477,0.4547038788837848,0.0,0.8977500690469209,1.0,0.13467506483753733,0.3320784891254467,0,3.858307043218454,0.011968612670898438,8.244135016610699e-05,False,530
1,0.7962389960535112,3.561273442511943,4.182927152186494,0.3,12.339303422636453,10.0,1.3467506483753733,-10.120003842084827,0.2962389960535113,0.8537578141706477,0.4547038788837848,0.0,0.8099502444740324,1.0,0.13467506483753733,0.2469999039478793,0,3.530129572162941,-2.5147457122802734,8.21709731955167e-05,False,800
2,0.811772360048711,3.4662990322752307,4.590390328988182,0.45895975700593516,13.151814976839015,8.731298744149385,1.3467506483753733,-13.950495359329992,0.31177236004871095,0.822099677425077,0.5129129041411687,0.26493292834322524,0.8679867840599297,0.8731298744149385,0.13467506483753733,0.15123761601675023,0,2.126022500582285,-9.943830490112305,3.7617199880408982,False,2001
3,0.811772360048711,3.6634761947666714,4.754236584026707,0.3669539903130298,10.933447323411764,8.61756844027843,1.3467506483753733,-6.716860434982133,0.31177236004871095,0.8878253982555571,0.5363195120038152,0.1115899838550496,0.7095319516722689,0.8617568440278429,0.13467506483753733,0.3320784891254467,0,3.839358607490382,0.012586593627929688,-8.131474158901142e-05,False,650
4,0.8132830980554,3.737747359773959,4.182927152186494,0.3,12.10439334174012,9.66359002277055,1.3467506483753733,-11.84270756232908,0.31328309805540006,0.9125824532579864,0.4547038788837848,0.0,0.7931709529814372,0.9663590022770548,0.13467506483753733,0.203932310941773,0,3.3665910789239835,-3.7942733764648438,7.39127474211898e-05,False,870
5,0.811772360048711,3.611755392607607,4.242002297223096,0.4682334057560579,13.151814976839015,8.731298744149385,1.3467506483753733,-6.716860434982133,0.31177236004871095,0.8705851308692023,0.4631431853175852,0.28038900959342977,0.8679867840599297,0.8731298744149385,0.13467506483753733,0.3320784891254467,0,3.84685649507883,0.012577056884765625,-7.617729557285458e-05,False,590
6,0.811772360048711,3.6595998107209704,5.166009066455136,0.4702469762556234,11.97382963577473,8.625680466698359,1.3467506483753733,-6.716860434982133,0.31177236004871095,0.8865332702403235,0.5951441523507338,0.2837449604260389,0.7838449739839092,0.862568046669836,0.13467506483753733,0.3320784891254467,0,3.8331254339967074,0.0124664306640625,8.565225392587195e-05,False,700
7,0.6526702360253587,3.8102572832792436,4.574980153457085,0.328888917151508,13.242831031904872,9.66359002277055,1.3467506483753733,-6.716860434982133,0.15267023602535873,0.9367524277597479,0.5107114504938693,0.04814819525251332,0.874487930850348,0.9663590022770548,0.13467506483753733,0.3320784891254467,0,1.6098274040270948,-9.65299129486084,9.66359002277055,False,2001
8,0.811772360048711,3.865348112991181,3.071097591171727,0.5749715795827368,11.855116340156249,9.703980403953672,1.3467506483753733,-6.716860434982133,0.31177236004871095,0.955116037663727,0.2958710844531039,0.45828596597122806,0.7753654528683035,0.9703980403953671,0.13467506483753733,0.3320784891254467,0,3.850616366540532,0.012462615966796875,9.335842294966312e-05,False,560
9,0.7962389960535112,3.561273442511943,4.182927152186494,0.36031847007916973,13.568500966656892,9.147991217493859,1.3467506483753733,-6.716860434982133,0.2962389960535113,0.8537578141706477,0.4547038788837848,0.10053078346528288,0.8977500690469209,0.9147991217493858,0.13467506483753733,0.3320784891254467,0,3.8307632772758735,0.012456893920898438,8.308353091734944e-05,False,750
