Individual,wheel_radius,chassis_length,suspension_frequency,suspension_damping,sensor_limit,speed_max,speed_slope,speed_intercept,wheel_radius-genome,chassis_length-genome,suspension_frequency-genome,suspension_damping-genome,sensor_limit-genome,speed_max-genome,speed_slope-genome,speed_intercept-genome,feasibility,objective,final_distance,final_speed,hit_wall,index_at_rest
0,0.7328871798100145,2.19971809347419,5.684879511058886,0.7952981840721111,14.486332382674165,10.0,1.8470779301016593,-9.258047939140557,0.2328871798100145,0.3999060311580633,0.6692685015798409,0.8254969734535184,0.9633094559052975,1.0,0.18470779301016593,0.2685488015214861,0,3.873043041517693,-0.01070404052734375,-9.597777667380569e-05,False,540
1,0.7783582032525387,2.1041309122222165,5.684879511058886,0.6229947117449495,13.105175695729095,10.0,1.8470779301016593,-9.258047939140557,0.2783582032525386,0.3680436374074054,0.6692685015798409,0.5383245195749157,0.8646554068377925,1.0,0.18470779301016593,0.2685488015214861,0,3.8265107345409417,-0.012277603149414062,-6.515133798323802e-05,False,820
2,0.5961900474153181,2.2384039830589177,5.684879511058886,0.635174257769002,13.122282895231777,9.579106319768783,1.8470779301016593,-9.258047939140557,0.09619004741531817,0.412801327686306,0.6692685015798409,0.5586237629483366,0.8658773496594127,0.9579106319768784,0.18470779301016593,0.2685488015214861,0,1.538872683770108,-10.447937965393066,9.579106319768783,False,2001
3,0.7328871798100145,2.258949211065405,5.372787181806623,0.8297585895671375,12.891179165038091,10.0,0.7396937505346752,-9.258047939140557,0.2328871798100145,0.41964973702180164,0.6246838831152318,0.882930982611896,0.8493699403598637,1.0,0.07396937505346753,0.2685488015214861,0,2.1382580450054163,-12.969066143035889,0.27747672626093234,False,2001
4,0.7328871798100145,1.952247475706311,5.210569530305222,0.7863125349490168,14.251820249256296,9.298354116781729,1.8470779301016593,-9.258047939140557,0.2328871798100145,0.31741582523543704,0.6015099329007461,0.8105208915816946,0.9465585892325926,0.929835411678173,0.18470779301016593,0.2685488015214861,0,3.870358050100648,-0.012304306030273438,-7.572040267689317e-05,False,560
5,0.6446463599335677,1.952247475706311,5.210569530305222,0.8063942819392085,15.0,9.298354116781729,1.8470779301016593,-4.997933322932637,0.14464635993356767,0.31741582523543704,0.6015099329007461,0.8439904698986805,1.0,0.929835411678173,0.18470779301016593,0.37505166692668407,0,3.5815305764321597,2.29376220703125,9.678175710092773e-05,False,900
6,0.7328871798100145,1.952247475706311,5.210569530305222,0.8063942819392085,14.251820249256296,9.298354116781729,1.8470779301016593,-4.245695230656509,0.2328871798100145,0.31741582523543704,0.6015099329007461,0.8439904698986805,0.9465585892325926,0.929835411678173,0.18470779301016593,0.3938576192335873,0,3.024011162942603,2.701375961303711,-8.080493421402934e-05,True,800
7,0.7328871798100145,2.117842233464299,6.10677794741194,0.7928517804725513,11.323708908251794,10.0,1.8470779301016593,-9.258047939140557,0.2328871798100145,0.37261407782143297,0.7295397067731343,0.8214196341209188,0.7374077791608424,1.0,0.18470779301016593,0.2685488015214861,0,3.871481168586871,-0.013360977172851562,9.514614320949022e-05,False,550
8,0.7328871798100145,1.952247475706311,5.290329446979698,0.8063942819392085,15.0,8.38581376332998,1.8470779301016593,-9.258047939140557,0.2328871798100145,0.31741582523543704,0.6129042067113855,0.8439904698986805,1.0,0.8385813763329979,0.18470779301016593,0.2685488015214861,0,3.8628628887739267,-0.012289047241210938,-8.276644580718084e-05,False,620
9,0.7328871798100145,2.19971809347419,5.684879511058886,0.8469883738677888,12.426504710515017,10.0,1.8470779301016593,-9.258047939140557,0.2328871798100145,0.3999060311580633,0.6692685015798409,0.9116472897796478,0.8161789078939298,1.0,0.18470779301016593,0.2685488015214861,0,3.857866830374049,-0.012273788452148438,-8.628946737054832e-05,False,660
