Generation,Worst Feasibility,Average Feasibility,Best Feasibility,Worst Objective,Average Objective,Best Objective
0,-0.9288879005859623,-0.09871142703631626,0.0,0.0,1.0368866312395308,3.780603418891685
1,-0.18753178106834134,-0.0038952854045272334,0.0,0.0,1.9483279702279652,3.782933117539796
2,0.0,0.0,0.0,-6.653006340475644,2.6128403600629064,3.7893502065410396
3,0.0,0.0,0.0,-6.001764220524712,2.855714122051649,3.7972837075360006
4,0.0,0.0,0.0,-6.653254352410497,2.782345331191775,3.7986130311774886
5,-0.08053504135395184,-0.002614379839097337,0.0,0.0,2.9971058004708526,3.8134236905410894
6,-0.005272352431943683,-5.272352431943683e-05,0.0,0.0,3.4272005027547348,3.819806870467498
7,-0.10404734644936142,-0.0010404734644936142,0.0,0.0,3.2331762460644096,3.8213616421380445
8,0.0,0.0,0.0,-6.457732981113007,3.2445413168099413,3.8213616421380445
9,0.0,0.0,0.0,-9.050975844151724,3.1181264566714746,3.822477501016268
10,0.0,0.0,0.0,-4.842501121541577,3.3956304645770587,3.822477501016268
11,0.0,0.0,0.0,-4.164923469396977,3.2634188102062898,3.834946501018613
12,0.0,0.0,0.0,-6.1112243208862695,3.3463086963413695,3.836116252939633
13,0.0,0.0,0.0,-5.475705817650546,3.397293347185759,3.8362727132672707
14,0.0,0.0,0.0,-7.102996529151187,3.395142564412917,3.8431242883333434
15,0.0,0.0,0.0,-3.074490870661603,3.4201347063429997,3.849123968243412
16,0.0,0.0,0.0,-7.7763631720825614,3.4029391186568785,3.8514684639868664
17,0.0,0.0,0.0,-9.402648533589977,3.340647222201241,3.86072439607985
18,-0.03857934294664356,-0.00038579342946643556,0.0,0.0,3.6430175041443764,3.861617313101925
19,0.0,0.0,0.0,-3.989339434721259,3.568841386135796,3.861617313101925
20,0.0,0.0,0.0,-7.352160835134792,3.5184799458672864,3.8639782260675664
21,0.0,0.0,0.0,-10.721579222592727,3.479019232739286,3.865677666132377
22,0.0,0.0,0.0,-6.166911023014903,3.5338101262647745,3.865677666132377
23,0.0,0.0,0.0,-7.154649262388384,3.649379499344526,3.8656881569384236
24,0.0,0.0,0.0,-5.6971685473955676,3.5503106996304634,3.871578711689088
25,0.0,0.0,0.0,-9.979683241913799,3.3489507694095475,3.871578711689088
26,0.0,0.0,0.0,-4.797889180399706,3.672905392409406,3.871578711689088
27,-0.030178105042620973,-0.00030178105042620975,0.0,0.0,3.671314278169671,3.871578936083045
28,0.0,0.0,0.0,0.1684527287865112,3.638238606329813,3.8715793848709583
29,0.0,0.0,0.0,1.5583020971951644,3.7095459826810018,3.8728193143607106
30,0.0,0.0,0.0,-5.378345733187002,3.522071092825681,3.874065625143988
31,0.0,0.0,0.0,1.4120515668070865,3.6827237491924234,3.875320533318923
32,0.0,0.0,0.0,-6.7077051123722224,3.5788517470537844,3.875320533318923
33,0.0,0.0,0.0,-1.587374022986911,3.5142064155096575,3.875320533318923
34,0.0,0.0,0.0,-3.2952460141167457,3.5575719344443235,3.875320680726551
35,0.0,0.0,0.0,-2.5056782764040983,3.635764072716535,3.875320680726551
36,0.0,0.0,0.0,1.3665625466670648,3.6480296290775724,3.876579238974365
37,0.0,0.0,0.0,-10.229216297173773,3.444527861185417,3.876579238974365
38,0.0,0.0,0.0,-2.85339010351708,3.4944070666977143,3.876610064273552
39,-0.058076699855091674,-0.0005807669985509168,0.0,0.0,3.583833855131423,3.876610064273552
