Individual,wheel_radius,chassis_length,suspension_frequency,suspension_damping,sensor_limit,speed_max,speed_slope,speed_intercept,wheel_radius-genome,chassis_length-genome,suspension_frequency-genome,suspension_damping-genome,sensor_limit-genome,speed_max-genome,speed_slope-genome,speed_intercept-genome,feasibility,objective,final_distance,final_speed,hit_wall,index_at_rest
0,0.64060018152722,1.7968731906253717,8.0,0.47164344733077557,15.0,6.42952907895943,3.11134561406711,-15.512800453941889,0.14060018152721995,0.26562439687512385,1.0,0.2860724122179592,1.0,0.642952907895943,0.31113456140671103,0.11217998865145276,0.0,3.877214395955887,0.012058258056640625,0.000100435156843659,False,690.0
1,0.6362395945035317,1.837768742761163,8.0,0.48863999543691505,14.70206451800223,6.645035606846312,3.3279853802311092,-15.512800453941889,0.13623959450353168,0.27925624758705436,1.0,0.3143999923948584,0.9787188941430164,0.6645035606846312,0.33279853802311093,0.11217998865145276,0.0,3.8198925062977365,0.3386421203613281,-0.00010444072881199418,False,850.0
2,0.5680859153962031,1.7968731906253717,8.0,0.45384545467471893,15.0,6.42952907895943,3.11134561406711,-15.512800453941889,0.0680859153962031,0.26562439687512385,1.0,0.25640909112453153,1.0,0.642952907895943,0.31113456140671103,0.11217998865145276,0.0,1.8267494569978258,-10.737847328186035,6.42952907895943,False,2001.0
3,0.6403492957894577,2.03844320084121,7.851960165154607,0.4795747776809607,15.0,7.058785112465795,3.822024168732435,-15.512800453941889,0.1403492957894577,0.34614773361373663,0.978851452164944,0.29929129613493444,1.0,0.7058785112465795,0.3822024168732435,0.11217998865145276,0.0,3.745486124904208,0.9411392211914062,-8.637657878374227e-05,False,870.0
4,0.7523482187837911,2.1935410014264645,8.0,0.5668739705422772,15.0,5.7340131899416935,3.11134561406711,-15.512800453941889,0.2523482187837911,0.39784700047548816,1.0,0.4447899509037952,1.0,0.5734013189941694,0.31113456140671103,0.11217998865145276,0.0,3.837816048584754,0.013933181762695312,-6.424502044666269e-05,False,780.0
5,0.6537041205603608,2.1935410014264645,8.0,0.5328190820217982,15.0,5.7340131899416935,3.11134561406711,-15.512800453941889,0.15370412056036076,0.39784700047548816,1.0,0.3880318033696636,1.0,0.5734013189941694,0.31113456140671103,0.11217998865145276,0.0,3.8574672775467183,0.014005661010742188,0.00010191876204324046,False,820.0
6,0.6362395945035317,1.9577816066970752,8.0,0.48863999543691505,14.70206451800223,5.755296220953106,3.11134561406711,-15.512800453941889,0.13623959450353168,0.3192605355656917,1.0,0.3143999923948584,0.9787188941430164,0.5755296220953106,0.31113456140671103,0.11217998865145276,0.0,3.858082879704746,0.014036178588867188,9.004992043770699e-05,False,850.0
7,0.6512263415285381,2.176614218566218,7.825893072073872,0.4269348262977818,15.0,6.1856338181345105,3.11134561406711,-15.512800453941889,0.1512263415285381,0.3922047395220726,0.9751275817248388,0.21155804382963625,1.0,0.618563381813451,0.31113456140671103,0.11217998865145276,0.0,3.864235376380825,0.014837265014648438,-0.00010578596606869439,False,770.0
8,0.64060018152722,1.8046193310659664,8.0,0.4980565227909378,13.277158822249824,6.42952907895943,3.11134561406711,-15.512800453941889,0.14060018152721995,0.2682064436886555,1.0,0.33009420465156303,0.8769399158749874,0.642952907895943,0.31113456140671103,0.11217998865145276,0.0,3.8619862423490745,0.014081954956054688,-7.611386205219617e-05,False,810.0
9,0.64060018152722,1.6394724449019737,8.0,0.36391744039218826,15.0,6.42952907895943,3.11134561406711,-18.354742404536108,0.14060018152721995,0.21315748163399126,1.0,0.10652906732031375,1.0,0.642952907895943,0.31113456140671103,0.041131439886597274,0.0,3.7577541446198324,-0.9000625610351562,-6.696635553637975e-05,False,810.0
